Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Jr. Data Scientist,$77K - $154K (Glassdoor est.),"Paramount Global (NASDAQ: PARA, PARAA) is a leading global media and entertainment company that creates premium content and experiences for audiences worldwide. Driven by iconic studios, networks and streaming services, Paramount's portfolio of consumer brands includes CBS, Showtime Networks, Paramount Pictures, Nickelodeon, MTV, Comedy Central, BET, Paramount+, Pluto TV and Simon & Schuster, among others. Paramount delivers the largest share of the U.S. television audience and boasts one of the industry's most important and extensive libraries of TV and film titles. In addition to offering innovative streaming services and digital video products, the company provides powerful capabilities in production, distribution and advertising solutions.
Advertising on all formats is being reinvented through new business models and the combination of big data, predictive analytics, optimization and other modern data science and analysis techniques. Paramount's Advanced Advertising Group is at the forefront of this reinvention of advertising and is currently looking for key new individuals to join our team!

The Product Science and Analytics team is looking for a Junior Data Scientist. In this role, you will need to gain an understanding of our platform, including the predictive, simulation, and optimization models that power it – as well as how those models impact our underlying business. You will be expected to monitor and maintain existing prediction, optimization, and simulation engines. You will also implement custom queries against our data warehouse, run statistical data analyses, and other types of analyses related to platform performance. You will work closely with a dedicated science and software engineering team, as well as key operational teams, to validate and ensure platform KPI performance!


Work with data scientists, data engineers, and software engineers to deliver analysis aimed at underlying business objectives
Execute data driven methodologies to improve product performance and capability
Monitor and maintain platform health, as determined by Vantage business leadership
Ensure technical approaches taken by the Science and Analysis team are appropriate for their objective and underlying data structure
Brainstorm new functionality and features for future platform improvements
Work with semi-technical and non-technical business units in delivering actionable insights from large data sets


Passion for problem-solving and the ability to find answers to difficult questions – the sort of answers that others might struggle to find
Acute attention to detail, strong critical thinking skills, and excellent time management skills
Experience working with production data science systems
Proficiency with extracting insights from large data sets and communicating the results to non-technical staff
Highly proficient in Excel (advanced formulas, pivot tables) and PowerPoint
Comfortable programming in Python and SQL
Basic grasp of relational database structures and data management
Familiarity with cloud-based infrastructure (Amazon Web Services) or Unix/Linux based systems.
Bachelor’s Degree in a STEM field with 2+ years professional experience in data analytics, media tech or ad tech -OR- Master’s/Ph.D. in a STEM field.


Experience in media at an agency, network, or ad-tech firm with a fundamental understanding of digital, addressable, programmatic and/or television advertising
Experience working in a team environment
Strong written and oral communication skills, including experience building and leading presentations
A committed, entrepreneurial approach to building businesses within a fast-paced environment focused on changing the way partners perceive our brand and our product

Paramount is an equal opportunity employer (EOE) including disability/vet.

At Paramount, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. Paramount is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.paramount.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",3.8,"Paramount
3.8","New York, NY",1 to 50 Employees,1998,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Scientist - Entry Level,$69K - $119K (Glassdoor est.),"Job Details
New ideas are all around us, but only a few will change the world. That’s our focus at JPL. We ask the biggest questions, then search the universe for answers—literally. We build upon ideas that have guided generations, then share our discoveries to inspire generations to come. Your mission—your opportunity—is to seek out the answers that bring us one step closer. If you’re driven to discover, create, and inspire something that lasts a lifetime and beyond, you’re ready for JPL.
Located in Pasadena, California, JPL has a campus-like environment situated on 177 acres in the foothills of the San Gabriel Mountains and offers a work environment unlike any other: we inspire passion, foster innovation, build collaboration, and reward excellence.",4.5,"JPL/NASA
4.5","Pasadena, CA",5001 to 10000 Employees,1936,Nonprofit Organization,Federal Agencies,Government,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$55 - $60 Per Hour,"Job Description:
Python
Machine learning
Neural networks
Data visualization
Data wrangling
· (clustering, decision tree learning, artificial neural networks, Deep Learning etc.) and their real-world advantages/drawbacks.
· Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.",-1,Amaze Systems Inc,Remote,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,$88K - $185K (Glassdoor est.),"Upgrade is a fintech unicorn founded in 2017. We are the fastest-growing company in the Americas (Financial Times). In the last five years, over 15 million people have applied for an Upgrade card or loan, and we have delivered over $10 billion in affordable and responsible credit. Our innovative Upgrade Card is the fastest growing credit card in America (Nilson Report). Combining the flexibility of a credit card with the low cost of an installment loan helps us redefine banking.

Upgrade has been named a “Best Place to Work in the Bay Area” three years in a row, one of the “Top Companies to work for in Arizona”, and we have received awards for being a best company for Diversity, Women, Culture, and Veterans.

We are looking for new team members who get excited about designing and delivering new and better products to join a team of 900 talented and passionate professionals. Come join us if you like to tackle big problems and make a meaningful difference in people's lives.",3.9,"Upgrade
3.9","San Francisco, CA",201 to 500 Employees,2016,Company - Private,Lending,Finance,Less than $1 million (USD)
Junior Data Scientist,$59K - $119K (Glassdoor est.),"About Enterprise Data and Analytics:
The Data and Analytics (DnA) Services organization is transforming how Coca-Cola leverages data across the entire company. We passionately develop and scale leading data capabilities for Coca-Cola, driving growth and delighting consumers through innovation and agile, insight-led decision making.
Job Description Summary:
You will play a critical role in the growing Data Science Services team in DnA, where you will be responsible for developing advanced analytics and machine learning models across domains including: marketing, supply chain optimization, forecasting, digital transformation, and food and beverage science. You will work closely with IT partners, process owners and business stakeholders to deliver impactful data science solutions at significant scale. You will have the opportunity to do your best work every day and deliver disruptive innovation by tapping into new datasets, leveraging the latest cloud technologies, and being supported by a robust analytics and IT organization.",4.0,"The Coca-Cola Company
4.0","Atlanta, GA",10000+ Employees,1886,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Senior Data Scientist,Employer Provided Salary:$148K,"About Lark
Lark is the world's largest A.I. healthcare provider, servicing nearly 2 million patients living with or at risk of a chronic disease. Lark is a companion app on the user's phone providing real-time coaching, guidance, and health insights to users. We are on a mission to disrupt the healthcare industry and make the world a healthier, happier place. Come join our team!
The Role
We are looking for a talented Senior Data Scientist to serve as a leader on our growing remote team. You'll work with the data, product and business teams using machine learning and advanced analytics to understand user behavior and give recommendations on the best action to take to improve outcomes for our users and the business.
What You'll Do
Serve as a team leader, establishing scalable processes and technical best practices to enable team success as the organization grows",4.3,"Lark Health
4.3","Mountain View, CA",51 to 200 Employees,2011,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD)
Data Scientist,$83K - $166K (Glassdoor est.),"Job Description

Data & Analysis – Data Scientist
We are the connected marketing agency, a full-service agency with modern creative & media, data, and technology services all under one roof.
The Data & Analysis team uses data-driven insights to fuel strategic growth for clients. We believe that data should never exist in a vacuum; instead, it should be put to work to bring the best ideas and stories to our clients.
Digitas’ Data Science practice sits within our DNA (Data & Analysis) capability, and develops industry-leading analytical solutions for clients across industries, channels and business functions. We apply a bespoke and cutting-edge arsenal of statistical, analytical and computing techniques to complex data problems at scale, with an emphasis on game-changing—and measureable—business impact. We work in close collaboration with colleagues across all agency disciplines to develop truly innovative, highly effective, data-powered solutions for our clients.",3.8,"Digitas
3.8","New York, NY",5001 to 10000 Employees,1980,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Graduate Data Scientist - Role Can be Remote,$64K - $138K (Glassdoor est.),"The Petcare Segment consists of five Divisions: Pet Nutrition, Royal Canin, Mars Veterinary Health N. America, Mars Veterinary Health International & Diagnostics, Kinship. Under this new organization of Petcare Product and Service brands, we launched our Strategy in 2018 with an objective to “Create a Better World for Pets by extending global leadership in Nutrition, Health and Services powered by Data”.
With the breadth and scale of our Petcare businesses we have unique and unrivalled data assets. The potential to create benefits for Pets and sustainable competitive advantage is huge and we need to seize this opportunity now.
Our data assets consist of Veterinary data including appointment and invoice details as well as the medical histories and diagnostic details this provides. We have breed and disease marker data from our DNA diagnostics business (Wisdom Health), Location and Activity Tracking data from our Whistle business. From our nutrition businesses we have sales data, some consumer data as well as valuable information about retailers, Veterinarians, Breeders and Shelters. We also have third party data providing us with product purchasing insights and the potential to develop deeper and broader views into Petcare shopping through collaboration and D2C engagement.",4.2,"MARS
4.2","Franklin, TN",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,-1,"Farm Journal, the largest business information company serving U.S. agriculture, is seeking a Data Scientist to partner with our business and internal teams to aid them in data strategy.
What this person will do:
Design, develop, implement, support, and present dashboards, reports, and visualizations in Tableau to help clients maximize the value of their data
Deliver insightful visual solutions to complex problems for clients using creative ideas that support big data and analytical consumers
Organize and clean unstructured data to present through Tableau and alter data models as business requirement change
Communicate project output in terms of customer value, business objectives and product opportunity",3.2,"Farm Journal
3.2",Remote,201 to 500 Employees,1877,Company - Private,Publishing,Media,$50 to $100 million (USD)
Data Scientist,$108K - $170K (Glassdoor est.),"Overview
Interested in creating balance between productivity and wellbeing in the workplace? Come join us! Viva Insights aims to create cultures where people and business thrive by reimagining how people and organizations should work together. We are here to help employees feel better and be better at work. Learn more about Viva Insights: Improve Employee Wellbeing | Microsoft Viva Insights
Viva Insights Behavioral Science, Data Science and Product Analytics is a team of data scientists and behavioral scientists that work together to leverage advanced analytics, ML/AI techniques, and behavioral research to find new ways to measure human behavior, drive specific, measurable, and impactful improvements to the Viva Insights product, and conduct research to discover new interventions to help our customers thrive at work. In an environment of high opportunity and impact, we are looking for a strong and experienced Data Scientist to help conduct and apply research within the Viva Insights portfolio of products. This person will create models and help design and research interventions that are intended to support our customers’ goals. The person in this role will work with our product team and the broader Microsoft research community to bring validated findings from internal research and research from the field into our product strategy. He or she will also work with our product teams to inject data science expertise into the features and design of the products.",4.4,"Microsoft
4.4","Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Scientist,Employer Provided Salary:$72K - $176K,"Data Scientists develop algorithms and statistical methods that find patterns and relationships in large volumes of data, driving operations and shaping CIA technology investments.
Full time
Starting salary: $72,272 - $176,300*
Higher starting salary possible depending on experience level
Bachelor's degree
Foreign language bonus eligible
About the Job
As a Data Scientist for CIA, you will organize and interpret data to inform U.S. decision-makers, drive successful operations, and shape CIA technology and resource investments. Through CIA’s global mission, the Agency has access to unique and highly specialized data sets. You will work with advanced hardware, software, and techniques to develop computational algorithms and statistical methods that find patterns and relationships in large volumes of data. You will also create scalable, high performance, and repeatable computational solutions which realize their algorithmic approaches. Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at academic, and technical conferences as well as collaboration with the Intelligence Community.",4.1,"Central Intelligence Agency
4.1","Washington, DC",Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable
Data Scientist - Machine Learning,$109K - $201K (Glassdoor est.),"About Us
Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch on LinkedIn, Twitter and on our Blog.
About the Role
The Central Science team focuses on understanding the long-term and causal impact of actions taken by viewers, creators and Twitch. We discover insights and build prediction and causal inference tools to make these knowledge more accessible for teams across Twitch. We support a diverse set of customers including executive leaders, product managers and data staff. We are an interdisciplinary team with experts in data science, statistics, and economics.",4.0,"Twitch
4.0","San Francisco, CA",1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$70K - $90K,"Overview:
The Data Scientist will understand and utilize healthcare data to define, develop, and implement solutions for business decisions. In this role, you will leverage advanced analytical software, big data, and machine learning techniques to drive initiatives and identify opportunities for patients to safely heal within the home. You are required to have a strong understanding of the healthcare ecosystem and determine opportunities to apply CareCentrix’s business model and values to challenge historical trends of facility-based care. You will identfiy opportunities to heal at home using mathematical and statistical findings, and provide that information business partners and stakeholders.
Responsibilities:
In this role you will:
Develop relevant technologies and applications within the healthcare space using machine learning and big data analytics.
Qualifications:",3.4,"CareCentrix
3.4",Remote,1001 to 5000 Employees,1996,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Jr. Data Scientist,$86K - $186K (Glassdoor est.),"Experience with statistics/machine learning packages such as Spark MLlib, Python (scikit-learn, pandas, numpy, scipy, Matplotlib), Keras, TensorFlow, PyTorch etc.

Insurance industry experience is an advantage.

ML/NLP/Deep Learning knowledge/experience is an advantage.

Competencies for Analyst I, Data Science, typically acquired through a Master`s degree (in Statistics, Mathematics, Economics, Actuarial Science or other scientific field of study) and 0-1 years of experience or may be acquired through a Bachelor`s degree and 3+ years of relevant experience.",5.0,"Aroopa
5.0","San Francisco, CA",1 to 50 Employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Data Scientist,$75K - $137K (Glassdoor est.),"Circle is a global financial technology firm that enables businesses of all sizes to harness the power of digital currency and public blockchains for payments, commerce and financial applications worldwide. Circle platforms and products provide a suite of internet-native financial services for payments, treasury infrastructure and capital formation. Circle is also a principal developer of USD Coin (USDC), which has become the fastest growing dollar digital currency in the world. USDC has grown to over 53+ billion in circulation and supported over $1.9+ trillion in transactions in the past year. Circle's payments and treasury infrastructure services available through the Circle Account and APIs helps bridge the legacy financial system and digital currency and blockchain based finance. Circle's SeedInvest service brings internet-native fundraising and capital formation to startups and growth companies. Combined, Circle's suite of services helps companies to participate in a more open, global and inclusive financial system.",4.2,"Circle
4.2","Newark, NJ",51 to 200 Employees,2013,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Junior Data Scientist,$59K - $109K (Glassdoor est.),"JOB DESCRIPTION
Position – Junior Data Scientist
Job Location – Livonia , Michigan
Job Type – Full time (W2)
at Soothsayer Analytics ()
KEY SKILLS
Data Science (must), Python (must), R (must), SQL (must)
JOB DETAILS
Soothsayer is seeking Junior Data Scientists to join its Data Science team in Detroit, MI. The Data Science team works on a variety of exciting analytics (ML, AI) projects.",2.7,"Soothsayer Analytics
2.7","Livonia, MI",51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
BHJOB15656_16794 - Data Scientist,-1,"The recruitment team here at Myticas is looking to hire 2 Data Scientists to assist with building our client's nextgen (next generation) of advanced analytics products using AI, Data Science, and ML (Machine learning).
The Data Scientists we are seeking will collaborate across internal teams to create predictive models and identify opportunities to make informed business decisions and create value for our customer base. The primary responsibilities will be applying a knowledge of statistics, machine learning (ML) programming, data modeling, simulation, and advanced mathematics for recognizing patterns, identify opportunities, posing business questions, and making valuable discoveries leading to prototype development and new product offerings.
REQUIREMENTS:
Degree in a scientific or quantitative field or a proven proficiency in these areas",3.7,"Myticas Consulting
3.7",Remote,1 to 50 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$78K - $154K (Glassdoor est.),"Yext (NYSE: YEXT) is building the next big thing in AI search, and the next big thing is answers.

With the explosion of information and data online, search has never been more important. However, while the world of consumer search has innovated over time, enterprise search has not. In fact, the majority of enterprise search is powered by outdated keyword technology that only scans for keywords and delivers a list of hyperlinks rather than actually answering questions. Yext, the AI Search Company, offers a modern, AI-powered Answers Platform that understands natural language so that when people ask questions about a business online they get direct answers – not links.

We have a big, audacious mission to transform the enterprise with AI search. To achieve that, we need bright minds and diverse perspectives to join our growing company and help us continue to disrupt an industry. Does this sound like you?",3.9,"Yext
3.9","New York, NY",1001 to 5000 Employees,2006,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
Data Annotator,Employer Provided Salary:$42K - $44K,"Weir Motion Metrics is a Canadian mining technology division that enables a new generation of safe, smart, and sustainable mining. Based in Vancouver, B.C., the company joined forces with Weir, one of the world’s leading engineering businesses, to empower mines by developing and deploying advanced monitoring solutions that address the industry’s toughest challenges.
We are looking for a Data Annotator in our AI Research Department - Image Labelling Team.
Responsibilities
Communicate effectively with team leads to acquire and understand the requirements for data
annotation
Use software applications and good visual judgment to select frames from videos, and highlight",-1,Weir Motion Metrics,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,$72K - $146K (Glassdoor est.),"Who YOU Are
Do you instinctively put yourself in the minds of the users and clients? Are you curious and always hungry to learn something new? Do you love the iterative process of development? If you want to work at a company large enough to do really cool things and small enough that your voice will be heard, this may be your dream job. BEN is seeking a Data Scientist to play an important role in our burgeoning AI team working out of our Utah location with option to be fully remote. The ideal candidate is solution oriented, creative, curious, detailed, and values exceptional work. Candidates must possess programming skills and a willingness to continuously learn and improve oneself. If you have verbal, abstract and spatial reasoning, as well as the ability to mentally build complex systems and implement them with a sharp eye for detail, we want you.",3.6,"BEN Group, Inc
3.6","Provo, UT",201 to 500 Employees,2014,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD)
Data Scientist,$69K - $132K (Glassdoor est.),"As a Data Scientist for Engage3, you will bring tremendous innovation to the retail industry by building and delivering the next generation of transformative price management solutions.
You should be able to demonstrate the ability to model and analyze large-scale datasets and exhibit strong systematic thinking and detail-oriented skills to assure the integrity of various solutions. You should also have experience of collaborating across organizational boundaries.
Responsibilities:
Validating the integrity of various modeling solutions on a regular basis and standardizing the process
Analyzing large-scale datasets and effectively visualizing and communicating findings with the team and customers",4.3,"Engage3
4.3","Davis, CA",51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Scientist,$69K - $132K (Glassdoor est.),"Interested in Augmented Reality? Do you want to be part of a team that is changing the way the world interacts with mobile devices? We are an all-star team working to pioneer the next wave of technology - reimagining the way the world interacts with technology today. 8th Wall's mission is to break the wall between the digital and physical worlds, and we're hard at work to bring augmented reality technology into the hands of developers worldwide.
8th Wall is looking for a world-class Data Scientist to join our data team. The team is focused on uncovering critical insights, setting strategic goals, measuring impact and leveraging findings to power intelligent business decisions. You will be working closely with our engineers, PMs, and designers to improve our products. You will be directly involved in solving problems including, but not limited to, marketing attribution, business analytics, funnel optimization, financial planning and modeling.",5.0,"8th Wall
5.0","Palo Alto, CA",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$69K - $132K (Glassdoor est.),"Job Title
Data Scientist
Relevant Experience
(in Yrs)
5+ years total experience with last 3+ years working as Data Scientist and at least a year working on Azure AI/ML services
Technical/Functional Skills
Experience Required",-1,Pyramid Global Technologies,"Redmond, WA",-1,-1,-1,-1,-1,-1
